# Logfile created on 2026-04-05 08:55:30 +0200 by logger.rb/v1.5.3
2026-04-05 08:55:30 +0200: Memory Usage (435556K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/LC_VCO.gds
2026-04-05 08:55:30 +0200: Memory Usage (435556K) : Ruby Version for klayout: 3.2.3
2026-04-05 08:55:30 +0200: Memory Usage (436708K) : Loading database to memory is complete.
2026-04-05 08:55:30 +0200: Memory Usage (436708K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/drc_run_LC_VCO/LC_VCO_LC_VCO_main.lyrdb
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : Evaluate switches.
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : tables selected: main
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : deep mode is enabled.
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : FEOL enabled: true
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : BEOL enabled: true
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : OFFGRID enabled: true
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : PIN enabled: true
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : FORBIDDEN enabled: true
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : RECOMMENDED enabled: true
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : PreCheck DRC enabled: false
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : CONNECTIVITY_RULES enabled: true.
2026-04-05 08:55:30 +0200: Memory Usage (436836K) : Read in polygons from layers.
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_drw has 185 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_pin has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_mask has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_filler has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_nofill has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_iopc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : activ_noqrc has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : biwind_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : biwind_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : pemwind_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_drw has 129 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_pin has 6 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_filler has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_nofill has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_iopc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (437988K) : gatpoly_noqrc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438116K) : cont_drw has 4107 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438116K) : cont_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438372K) : nsd_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438372K) : nsd_block has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438372K) : metal1_drw has 407 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438372K) : metal1_pin has 26 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438372K) : metal1_mask has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438372K) : metal1_filler has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438500K) : metal1_nofill has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438500K) : metal1_slit has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438884K) : metal1_text has 4 polygons
2026-04-05 08:55:30 +0200: Memory Usage (438884K) : metal1_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439012K) : metal1_noqrc has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439012K) : metal1_res has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439012K) : metal1_iprobe has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439140K) : metal1_diffprb has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439140K) : passiv_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439268K) : passiv_pin has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439268K) : passiv_sbump has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439396K) : passiv_pillar has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439396K) : passiv_pdl has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439396K) : metal2_drw has 79 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439524K) : metal2_pin has 5 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439524K) : metal2_mask has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439652K) : metal2_filler has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439652K) : metal2_nofill has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439780K) : metal2_slit has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439908K) : metal2_text has 5 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439908K) : metal2_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (439908K) : metal2_noqrc has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440036K) : metal2_res has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440036K) : metal2_iprobe has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440164K) : metal2_diffprb has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440164K) : baspoly_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440292K) : baspoly_pin has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440292K) : psd_drw has 33 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440292K) : nldb_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440420K) : digibnd_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440420K) : via1_drw has 43 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440548K) : backmetal1_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440548K) : backmetal1_pin has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440676K) : backmetal1_mask has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440676K) : backmetal1_filler has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440676K) : backmetal1_nofill has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440804K) : backmetal1_slit has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440804K) : backmetal1_text has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440932K) : backmetal1_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (440932K) : backmetal1_noqrc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441060K) : backmetal1_res has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441060K) : backmetal1_iprobe has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441060K) : backmetal1_diffprb has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441188K) : backpassiv_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441316K) : res_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441316K) : sram_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441444K) : trans_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441444K) : ind_drw has 2 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441572K) : ind_pin has 2 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441700K) : ind_text has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441700K) : salblock_drw has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441828K) : via2_drw has 134 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441828K) : metal3_drw has 12 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441956K) : metal3_pin has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (441956K) : metal3_mask has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442084K) : metal3_filler has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442084K) : metal3_nofill has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442212K) : metal3_slit has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442212K) : metal3_text has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442212K) : metal3_opc has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442340K) : metal3_noqrc has 1 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442340K) : metal3_res has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442468K) : metal3_iprobe has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442468K) : metal3_diffprb has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442468K) : nwell_drw has 14 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442596K) : nwell_pin has 0 polygons
2026-04-05 08:55:30 +0200: Memory Usage (442596K) : nbulay_drw has 2 polygons
