# Logfile created on 2026-03-26 17:48:01 +0100 by logger.rb/v1.5.3
2026-03-26 17:48:01 +0100: Memory Usage (435900K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/CP.gds
2026-03-26 17:48:01 +0100: Memory Usage (435900K) : Ruby Version for klayout: 3.2.3
2026-03-26 17:48:01 +0100: Memory Usage (436796K) : Loading database to memory is complete.
2026-03-26 17:48:01 +0100: Memory Usage (436796K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/layout/drc_run_CP/CP_CP_main.lyrdb
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : Evaluate switches.
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : tables selected: main
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : deep mode is enabled.
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : FEOL enabled: true
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : BEOL enabled: true
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : OFFGRID enabled: true
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : PIN enabled: true
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : FORBIDDEN enabled: true
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : RECOMMENDED enabled: true
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : PreCheck DRC enabled: false
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : CONNECTIVITY_RULES enabled: true.
2026-03-26 17:48:01 +0100: Memory Usage (436924K) : Read in polygons from layers.
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_drw has 50 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_iopc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : activ_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : biwind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : biwind_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (437948K) : pemwind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_drw has 96 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_pin has 4 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_iopc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438076K) : gatpoly_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : cont_drw has 600 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : cont_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : nsd_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : nsd_block has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : metal1_drw has 207 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : metal1_pin has 89 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438204K) : metal1_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438332K) : metal1_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438460K) : metal1_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438460K) : metal1_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438716K) : metal1_text has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438716K) : metal1_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438716K) : metal1_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438844K) : metal1_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438844K) : metal1_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438972K) : metal1_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438972K) : passiv_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (438972K) : passiv_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439100K) : passiv_sbump has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439100K) : passiv_pillar has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439228K) : passiv_pdl has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439228K) : metal2_drw has 21 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439356K) : metal2_pin has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439356K) : metal2_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439356K) : metal2_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439484K) : metal2_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439612K) : metal2_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439612K) : metal2_text has 8 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439740K) : metal2_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439740K) : metal2_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439868K) : metal2_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439868K) : metal2_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439868K) : metal2_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439996K) : baspoly_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (439996K) : baspoly_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440124K) : psd_drw has 14 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440124K) : nldb_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440252K) : digibnd_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440380K) : via1_drw has 27 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440380K) : backmetal1_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440508K) : backmetal1_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440508K) : backmetal1_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440636K) : backmetal1_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440636K) : backmetal1_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440764K) : backmetal1_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440764K) : backmetal1_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440764K) : backmetal1_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440892K) : backmetal1_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (440892K) : backmetal1_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441020K) : backmetal1_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441020K) : backmetal1_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441148K) : backpassiv_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441148K) : res_drw has 35 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441276K) : sram_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441276K) : trans_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441404K) : ind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441404K) : ind_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441532K) : ind_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441660K) : salblock_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441660K) : via2_drw has 12 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441788K) : metal3_drw has 10 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441788K) : metal3_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441916K) : metal3_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (441916K) : metal3_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442044K) : metal3_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442044K) : metal3_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442044K) : metal3_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442172K) : metal3_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442172K) : metal3_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442300K) : metal3_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442300K) : metal3_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442428K) : metal3_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442428K) : nwell_drw has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442428K) : nwell_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442556K) : nbulay_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442684K) : nbulay_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442684K) : nbulay_block has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442812K) : emwind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442940K) : emwind_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442940K) : deepco_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (442940K) : deepco_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443068K) : mim_drw has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443068K) : edgeseal_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443196K) : edgeseal_bound has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443196K) : substrate_drw has 6 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443324K) : substrate_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443324K) : dfpad_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443324K) : dfpad_pillar has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443452K) : dfpad_sbump has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443452K) : thickgateox_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443580K) : pldb_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443580K) : pwell_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (443708K) : pwell_pin has 0 polygons
