# Logfile created on 2026-03-26 17:50:45 +0100 by logger.rb/v1.5.3
2026-03-26 17:50:45 +0100: Memory Usage (435960K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/LC_VCO.gds
2026-03-26 17:50:45 +0100: Memory Usage (435960K) : Ruby Version for klayout: 3.2.3
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : Loading database to memory is complete.
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/layout/drc_run_LC_VCO/LC_VCO_LC_VCO_main.lyrdb
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : Evaluate switches.
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : tables selected: main
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : deep mode is enabled.
2026-03-26 17:50:45 +0100: Memory Usage (436984K) : FEOL enabled: true
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : BEOL enabled: true
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : OFFGRID enabled: true
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : PIN enabled: true
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : FORBIDDEN enabled: true
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : RECOMMENDED enabled: true
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : PreCheck DRC enabled: false
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : CONNECTIVITY_RULES enabled: true.
2026-03-26 17:50:45 +0100: Memory Usage (437112K) : Read in polygons from layers.
2026-03-26 17:50:45 +0100: Memory Usage (438264K) : activ_drw has 250 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438264K) : activ_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438264K) : activ_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438264K) : activ_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : activ_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : activ_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : activ_iopc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : activ_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : biwind_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : biwind_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : pemwind_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_drw has 278 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_pin has 4 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_iopc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438392K) : gatpoly_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438520K) : cont_drw has 2850 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438520K) : cont_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438520K) : nsd_drw has 4 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438520K) : nsd_block has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438520K) : metal1_drw has 481 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438648K) : metal1_pin has 13 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438904K) : metal1_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438904K) : metal1_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438904K) : metal1_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (438904K) : metal1_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439288K) : metal1_text has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439288K) : metal1_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439288K) : metal1_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439416K) : metal1_res has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439416K) : metal1_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439544K) : metal1_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439544K) : passiv_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439544K) : passiv_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439672K) : passiv_sbump has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439672K) : passiv_pillar has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439800K) : passiv_pdl has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439800K) : metal2_drw has 26 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439928K) : metal2_pin has 5 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439928K) : metal2_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (439928K) : metal2_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440056K) : metal2_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440056K) : metal2_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440184K) : metal2_text has 5 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440184K) : metal2_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440312K) : metal2_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440440K) : metal2_res has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440440K) : metal2_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440440K) : metal2_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440568K) : baspoly_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440568K) : baspoly_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440696K) : psd_drw has 24 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440696K) : nldb_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440824K) : digibnd_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440824K) : via1_drw has 22 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440824K) : backmetal1_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440952K) : backmetal1_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (440952K) : backmetal1_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441080K) : backmetal1_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441080K) : backmetal1_nofill has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441208K) : backmetal1_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441208K) : backmetal1_text has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441208K) : backmetal1_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441336K) : backmetal1_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441336K) : backmetal1_res has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441464K) : backmetal1_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441464K) : backmetal1_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441464K) : backpassiv_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441592K) : res_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441592K) : sram_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441720K) : trans_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441720K) : ind_drw has 2 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441848K) : ind_pin has 2 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441976K) : ind_text has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441976K) : salblock_drw has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (441976K) : via2_drw has 130 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442232K) : metal3_drw has 12 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442232K) : metal3_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442360K) : metal3_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442360K) : metal3_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442360K) : metal3_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442488K) : metal3_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442488K) : metal3_text has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442616K) : metal3_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442616K) : metal3_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442744K) : metal3_res has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442744K) : metal3_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442744K) : metal3_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (442872K) : nwell_drw has 16 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443000K) : nwell_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443000K) : nbulay_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443128K) : nbulay_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443128K) : nbulay_block has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443128K) : emwind_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443256K) : emwind_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443384K) : deepco_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443384K) : deepco_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443512K) : mim_drw has 12 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443640K) : edgeseal_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443640K) : edgeseal_bound has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443768K) : substrate_drw has 8 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443768K) : substrate_text has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443768K) : dfpad_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443896K) : dfpad_pillar has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (443896K) : dfpad_sbump has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444024K) : thickgateox_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444024K) : pldb_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444024K) : pwell_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444152K) : pwell_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444152K) : pwell_block has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444280K) : ic_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444280K) : via3_drw has 130 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444408K) : metal4_drw has 12 polygons
2026-03-26 17:50:45 +0100: Memory Usage (444536K) : metal4_pin has 0 polygons
