# Logfile created on 2026-03-23 07:24:26 +0100 by logger.rb/v1.5.3
2026-03-23 07:24:26 +0100: Memory Usage (434960K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/IHP-AnalogAcademy/modules/module_1_bandgap_reference/part_3_layout/BGR_layout/final_bandgapreference/full_bandgap_layout.gds
2026-03-23 07:24:26 +0100: Memory Usage (434960K) : Ruby Version for klayout: 3.2.3
2026-03-23 07:24:26 +0100: Memory Usage (436112K) : Loading database to memory is complete.
2026-03-23 07:24:26 +0100: Memory Usage (436112K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/IHP-AnalogAcademy/modules/module_1_bandgap_reference/part_3_layout/BGR_layout/final_bandgapreference/drc_run_complete_schematic_pads/full_bandgap_layout_complete_schematic_pads_main.lyrdb
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : Evaluate switches.
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : tables selected: main
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : deep mode is enabled.
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : FEOL enabled: true
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : BEOL enabled: true
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : OFFGRID enabled: true
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : PIN enabled: true
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : FORBIDDEN enabled: true
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : RECOMMENDED enabled: true
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : PreCheck DRC enabled: false
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : CONNECTIVITY_RULES enabled: true.
2026-03-23 07:24:26 +0100: Memory Usage (436240K) : Read in polygons from layers.
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_drw has 60 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_pin has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_mask has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_filler has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_nofill has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_opc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_iopc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : activ_noqrc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : biwind_drw has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : biwind_opc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : pemwind_drw has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_drw has 86 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_pin has 48 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_filler has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_nofill has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_opc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_iopc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437392K) : gatpoly_noqrc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437520K) : cont_drw has 5074 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437648K) : cont_opc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437776K) : nsd_drw has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (437776K) : nsd_block has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438032K) : metal1_drw has 249 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438160K) : metal1_pin has 97 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438160K) : metal1_mask has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438288K) : metal1_filler has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438288K) : metal1_nofill has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438416K) : metal1_slit has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438672K) : metal1_text has 1 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438800K) : metal1_opc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438800K) : metal1_noqrc has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438800K) : metal1_res has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438928K) : metal1_iprobe has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (438928K) : metal1_diffprb has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (439056K) : passiv_drw has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (439056K) : passiv_pin has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (439184K) : passiv_sbump has 0 polygons
2026-03-23 07:24:26 +0100: Memory Usage (439184K) : passiv_pillar has 0 polygons
