Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_160,VSS,Metal1,84.2460,91.1800,0.008477
FILLER_20_153,VSS,Metal1,80.8860,91.1800,0.008477
FILLER_20_146,VSS,Metal1,77.5260,91.1800,0.008477
FILLER_20_139,VSS,Metal1,74.1660,91.1800,0.008477
FILLER_20_132,VSS,Metal1,70.8060,91.1800,0.008477
FILLER_20_125,VSS,Metal1,67.4460,91.1800,0.008477
FILLER_20_118,VSS,Metal1,64.0860,91.1800,0.008477
FILLER_20_111,VSS,Metal1,60.7260,91.1800,0.008477
FILLER_20_104,VSS,Metal1,57.3660,91.1800,0.008477
FILLER_20_97,VSS,Metal1,54.0060,91.1800,0.008477
FILLER_20_91,VSS,Metal1,49.9200,90.7200,0.008477
FILLER_20_84,VSS,Metal1,47.7660,91.1800,0.008105
FILLER_20_77,VSS,Metal1,44.4060,91.1800,0.007712
FILLER_20_70,VSS,Metal1,41.0460,91.1800,0.006476
FILLER_20_63,VSS,Metal1,37.6860,91.1800,0.005240
FILLER_20_56,VSS,Metal1,34.3260,91.1800,0.004004
FILLER_20_49,VSS,Metal1,30.9660,91.1800,0.002768
FILLER_20_42,VSS,Metal1,27.6060,91.1800,0.001532
FILLER_20_35,VSS,Metal1,24.2460,91.1800,0.000296
FILLER_20_28,VSS,Metal1,20.8860,91.1800,0.000308
FILLER_20_21,VSS,Metal1,17.5260,91.1800,0.000308
FILLER_20_14,VSS,Metal1,14.1660,91.1800,0.000308
FILLER_20_7,VSS,Metal1,10.8060,91.1800,0.000316
FILLER_20_0,VSS,Metal1,7.4460,91.1800,0.000338
FILLER_19_165,VSS,Metal1,85.4400,90.7200,0.008477
FILLER_19_158,VSS,Metal1,83.2860,90.2590,0.008477
FILLER_19_151,VSS,Metal1,79.9260,90.2590,0.008477
FILLER_19_144,VSS,Metal1,76.5660,90.2590,0.008477
FILLER_19_137,VSS,Metal1,73.2060,90.2590,0.008477
FILLER_19_130,VSS,Metal1,69.8460,90.2590,0.008477
FILLER_19_123,VSS,Metal1,66.4860,90.2590,0.008477
FILLER_19_116,VSS,Metal1,63.1260,90.2590,0.008477
