Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_160,VDD,Metal1,84.2490,93.9010,1.199844
FILLER_20_153,VDD,Metal1,80.8890,93.9010,1.199844
FILLER_20_146,VDD,Metal1,77.5290,93.9010,1.199844
FILLER_20_139,VDD,Metal1,74.1690,93.9010,1.199844
FILLER_20_132,VDD,Metal1,70.8090,93.9010,1.199844
FILLER_20_125,VDD,Metal1,67.4490,93.9010,1.199844
FILLER_20_118,VDD,Metal1,64.0890,93.9010,1.199844
FILLER_20_111,VDD,Metal1,60.7290,93.9010,1.199844
FILLER_20_104,VDD,Metal1,57.3690,93.9010,1.199844
FILLER_20_97,VDD,Metal1,54.0090,93.9010,1.199844
FILLER_20_91,VDD,Metal1,49.9200,94.5000,1.199894
FILLER_20_84,VDD,Metal1,47.7690,93.9010,1.199896
FILLER_20_77,VDD,Metal1,44.4090,93.9010,1.199906
FILLER_20_70,VDD,Metal1,41.0490,93.9010,1.199916
FILLER_20_63,VDD,Metal1,37.6890,93.9010,1.199926
FILLER_20_56,VDD,Metal1,34.3290,93.9010,1.199937
FILLER_20_49,VDD,Metal1,30.9690,93.9010,1.199947
FILLER_20_42,VDD,Metal1,27.6090,93.9010,1.199957
FILLER_20_35,VDD,Metal1,24.2490,93.9010,1.199967
FILLER_20_28,VDD,Metal1,20.8890,93.9010,1.199977
FILLER_20_21,VDD,Metal1,17.5290,93.9010,1.199986
FILLER_20_14,VDD,Metal1,14.1690,93.9010,1.199986
FILLER_20_7,VDD,Metal1,10.8090,93.9010,1.199986
FILLER_20_0,VDD,Metal1,7.4490,93.9010,1.199986
FILLER_19_165,VDD,Metal1,85.4400,86.9400,1.198427
FILLER_19_158,VDD,Metal1,83.2890,87.5380,1.198427
FILLER_19_151,VDD,Metal1,79.9290,87.5380,1.198427
FILLER_19_144,VDD,Metal1,76.5690,87.5380,1.198427
FILLER_19_137,VDD,Metal1,73.2090,87.5380,1.198427
FILLER_19_130,VDD,Metal1,69.8490,87.5380,1.198428
FILLER_19_123,VDD,Metal1,66.4890,87.5380,1.198456
FILLER_19_116,VDD,Metal1,63.1290,87.5380,1.198457
FILLER_19_83,VDD,Metal1,46.0800,86.9400,1.198487
FILLER_19_76,VDD,Metal1,43.9290,87.5380,1.198504
FILLER_19_69,VDD,Metal1,40.5690,87.5380,1.198673
FILLER_19_62,VDD,Metal1,37.2090,87.5380,1.198708
FILLER_19_55,VDD,Metal1,33.8490,87.5380,1.198746
FILLER_19_48,VDD,Metal1,30.4890,87.5380,1.198954
FILLER_19_41,VDD,Metal1,27.1290,87.5380,1.198992
FILLER_19_26,VDD,Metal1,19.9290,87.5380,1.199617
FILLER_19_19,VDD,Metal1,16.5690,87.5380,1.199617
FILLER_19_8,VDD,Metal1,9.8400,86.9400,1.199617
FILLER_19_4,VDD,Metal1,8.6510,87.5360,1.199616
FILLER_18_166,VDD,Metal1,85.6800,86.9400,1.198427
FILLER_18_162,VDD,Metal1,84.4910,86.3430,1.198427
FILLER_18_134,VDD,Metal1,70.3200,86.9400,1.198428
FILLER_18_130,VDD,Metal1,69.1310,86.3430,1.198428
FILLER_18_101,VDD,Metal1,54.7200,86.9400,1.198464
FILLER_18_64,VDD,Metal1,36.7200,86.9400,1.198708
FILLER_18_54,VDD,Metal1,32.1600,86.9400,1.198921
FILLER_18_50,VDD,Metal1,30.7310,86.3430,1.198954
FILLER_17_165,VDD,Metal1,85.4400,79.3800,1.198390
FILLER_17_158,VDD,Metal1,83.2890,79.9780,1.198390
FILLER_17_151,VDD,Metal1,79.9290,79.9780,1.198390
FILLER_17_117,VDD,Metal1,62.1600,79.3800,1.198424
FILLER_17_112,VDD,Metal1,60.0000,79.3800,1.198561
FILLER_17_108,VDD,Metal1,58.5710,79.9760,1.198564
FILLER_17_104,VDD,Metal1,55.9200,79.3800,1.198567
FILLER_17_94,VDD,Metal1,52.5690,79.9780,1.198572
FILLER_17_52,VDD,Metal1,32.4090,79.9780,1.199416
FILLER_17_45,VDD,Metal1,29.0490,79.9780,1.199554
FILLER_17_39,VDD,Metal1,24.7200,79.3800,1.199734
FILLER_17_0,VDD,Metal1,6.7310,79.9760,1.199914
FILLER_16_165,VDD,Metal1,85.4400,79.3800,1.198390
FILLER_16_161,VDD,Metal1,84.0110,78.7830,1.198390
FILLER_16_127,VDD,Metal1,67.6910,78.7830,1.198390
FILLER_16_117,VDD,Metal1,62.4000,79.3800,1.198424
FILLER_16_113,VDD,Metal1,60.9710,78.7830,1.198549
FILLER_16_106,VDD,Metal1,58.3290,78.7810,1.198564
FILLER_16_99,VDD,Metal1,54.9690,78.7810,1.198567
FILLER_16_92,VDD,Metal1,51.6090,78.7810,1.198584
FILLER_16_85,VDD,Metal1,48.2490,78.7810,1.198663
FILLER_16_78,VDD,Metal1,44.8890,78.7810,1.198663
FILLER_16_71,VDD,Metal1,41.5290,78.7810,1.198663
FILLER_16_37,VDD,Metal1,24.0000,79.3800,1.199734
FILLER_16_33,VDD,Metal1,22.5710,78.7830,1.199887
FILLER_16_26,VDD,Metal1,19.9290,78.7810,1.199916
FILLER_16_19,VDD,Metal1,16.5690,78.7810,1.199916
FILLER_16_7,VDD,Metal1,9.6000,79.3800,1.199916
FILLER_16_0,VDD,Metal1,7.4490,78.7810,1.199914
FILLER_15_160,VDD,Metal1,84.2490,72.4180,1.199774
FILLER_15_153,VDD,Metal1,80.8890,72.4180,1.199774
FILLER_15_146,VDD,Metal1,77.5290,72.4180,1.199774
FILLER_15_139,VDD,Metal1,74.1690,72.4180,1.199774
FILLER_15_132,VDD,Metal1,70.8090,72.4180,1.199774
FILLER_15_125,VDD,Metal1,67.4490,72.4180,1.199774
FILLER_15_118,VDD,Metal1,64.0890,72.4180,1.199776
FILLER_15_111,VDD,Metal1,60.7290,72.4180,1.199776
FILLER_15_104,VDD,Metal1,57.3690,72.4180,1.199776
FILLER_15_97,VDD,Metal1,54.0090,72.4180,1.199776
FILLER_15_90,VDD,Metal1,50.6490,72.4180,1.199776
FILLER_15_83,VDD,Metal1,47.2890,72.4180,1.199776
FILLER_15_76,VDD,Metal1,43.9290,72.4180,1.199780
FILLER_15_69,VDD,Metal1,40.5690,72.4180,1.199787
FILLER_15_63,VDD,Metal1,36.2400,71.8200,1.199846
FILLER_15_56,VDD,Metal1,34.3290,72.4180,1.199905
FILLER_15_49,VDD,Metal1,30.9690,72.4180,1.199906
FILLER_15_42,VDD,Metal1,27.6090,72.4180,1.199920
FILLER_15_35,VDD,Metal1,24.2490,72.4180,1.199923
FILLER_15_28,VDD,Metal1,20.8890,72.4180,1.199923
FILLER_15_21,VDD,Metal1,17.5290,72.4180,1.199923
FILLER_15_14,VDD,Metal1,14.1690,72.4180,1.199922
FILLER_15_7,VDD,Metal1,10.8090,72.4180,1.199919
FILLER_15_0,VDD,Metal1,7.4490,72.4180,1.199919
FILLER_14_166,VDD,Metal1,85.6800,71.8200,1.199774
FILLER_14_162,VDD,Metal1,84.4910,71.2230,1.199774
FILLER_14_155,VDD,Metal1,81.8490,71.2210,1.199774
FILLER_14_148,VDD,Metal1,78.4890,71.2210,1.199774
FILLER_14_141,VDD,Metal1,75.1290,71.2210,1.199774
FILLER_14_134,VDD,Metal1,71.7690,71.2210,1.199774
FILLER_14_127,VDD,Metal1,68.4090,71.2210,1.199774
FILLER_14_121,VDD,Metal1,64.3200,71.8200,1.199776
FILLER_14_114,VDD,Metal1,62.1690,71.2210,1.199776
FILLER_14_107,VDD,Metal1,58.8090,71.2210,1.199776
FILLER_14_65,VDD,Metal1,37.9310,71.2230,1.199812
FILLER_14_58,VDD,Metal1,34.0800,71.8200,1.199905
FILLER_14_54,VDD,Metal1,32.6510,71.2230,1.199905
FILLER_14_49,VDD,Metal1,29.5200,71.8200,1.199906
FILLER_14_47,VDD,Metal1,28.8000,71.8200,1.199920
FILLER_14_7,VDD,Metal1,9.6000,71.8200,1.199919
FILLER_14_0,VDD,Metal1,7.4490,71.2210,1.199919
FILLER_13_163,VDD,Metal1,84.9710,64.8560,1.199275
FILLER_13_156,VDD,Metal1,82.3290,64.8580,1.199275
FILLER_13_149,VDD,Metal1,78.9690,64.8580,1.199275
FILLER_13_142,VDD,Metal1,75.6090,64.8580,1.199275
FILLER_13_136,VDD,Metal1,71.2800,64.2600,1.199295
FILLER_13_118,VDD,Metal1,63.3710,64.8560,1.199296
FILLER_13_111,VDD,Metal1,60.7290,64.8580,1.199296
FILLER_13_104,VDD,Metal1,57.3690,64.8580,1.199491
FILLER_13_97,VDD,Metal1,54.0090,64.8580,1.199491
FILLER_13_90,VDD,Metal1,50.6490,64.8580,1.199491
FILLER_13_83,VDD,Metal1,47.2890,64.8580,1.199492
FILLER_13_76,VDD,Metal1,43.9290,64.8580,1.199503
FILLER_13_69,VDD,Metal1,40.5690,64.8580,1.199513
FILLER_13_62,VDD,Metal1,37.2090,64.8580,1.199518
FILLER_13_45,VDD,Metal1,28.3310,64.8560,1.199628
FILLER_13_36,VDD,Metal1,23.2800,64.2600,1.199910
FILLER_13_34,VDD,Metal1,22.5600,64.2600,1.199910
FILLER_12_165,VDD,Metal1,85.4400,64.2600,1.199275
FILLER_12_107,VDD,Metal1,57.3600,64.2600,1.199491
FILLER_12_70,VDD,Metal1,41.0490,63.6610,1.199504
FILLER_12_63,VDD,Metal1,37.6890,63.6610,1.199513
FILLER_12_53,VDD,Metal1,31.4400,64.2600,1.199526
FILLER_12_49,VDD,Metal1,30.2510,63.6630,1.199579
FILLER_12_35,VDD,Metal1,23.0400,64.2600,1.199910
FILLER_12_4,VDD,Metal1,7.9200,64.2600,1.199886
FILLER_12_0,VDD,Metal1,6.7310,63.6630,1.199883
FILLER_11_166,VDD,Metal1,85.6800,56.7000,1.197172
FILLER_11_120,VDD,Metal1,63.6000,56.7000,1.197390
FILLER_11_116,VDD,Metal1,62.4110,57.2960,1.197390
FILLER_11_109,VDD,Metal1,59.7690,57.2980,1.197471
FILLER_11_102,VDD,Metal1,56.4090,57.2980,1.197477
FILLER_11_95,VDD,Metal1,53.0490,57.2980,1.197482
FILLER_11_88,VDD,Metal1,49.6890,57.2980,1.197488
FILLER_11_81,VDD,Metal1,46.3290,57.2980,1.197493
FILLER_11_74,VDD,Metal1,42.9690,57.2980,1.197515
FILLER_11_67,VDD,Metal1,39.6090,57.2980,1.199871
FILLER_11_60,VDD,Metal1,36.2490,57.2980,1.199874
FILLER_11_51,VDD,Metal1,30.4800,56.7000,1.199922
FILLER_11_47,VDD,Metal1,29.2910,57.2960,1.199923
FILLER_11_40,VDD,Metal1,26.6490,57.2980,1.199923
FILLER_11_33,VDD,Metal1,23.2890,57.2980,1.199923
FILLER_11_26,VDD,Metal1,19.9290,57.2980,1.199921
FILLER_11_19,VDD,Metal1,16.5690,57.2980,1.199902
FILLER_11_8,VDD,Metal1,9.8400,56.7000,1.199881
FILLER_11_4,VDD,Metal1,8.6510,57.2960,1.199879
FILLER_10_165,VDD,Metal1,85.4400,56.7000,1.197172
FILLER_10_161,VDD,Metal1,84.0110,56.1030,1.197172
FILLER_10_154,VDD,Metal1,81.3690,56.1010,1.197171
FILLER_10_147,VDD,Metal1,78.0090,56.1010,1.197171
FILLER_10_138,VDD,Metal1,72.2400,56.7000,1.197180
FILLER_10_134,VDD,Metal1,71.0510,56.1030,1.197192
FILLER_10_123,VDD,Metal1,66.4890,56.1010,1.197384
FILLER_10_116,VDD,Metal1,63.1290,56.1010,1.197390
FILLER_10_109,VDD,Metal1,59.7690,56.1010,1.197471
FILLER_10_102,VDD,Metal1,56.4090,56.1010,1.197477
FILLER_10_95,VDD,Metal1,53.0490,56.1010,1.197482
FILLER_10_88,VDD,Metal1,49.6890,56.1010,1.197488
FILLER_10_81,VDD,Metal1,46.3290,56.1010,1.197493
FILLER_10_66,VDD,Metal1,39.1290,56.1010,1.199874
FILLER_10_59,VDD,Metal1,35.7690,56.1010,1.199877
FILLER_10_52,VDD,Metal1,32.4090,56.1010,1.199911
FILLER_10_25,VDD,Metal1,18.2400,56.7000,1.199905
FILLER_10_21,VDD,Metal1,16.8110,56.1030,1.199902
FILLER_10_14,VDD,Metal1,14.1690,56.1010,1.199896
FILLER_10_7,VDD,Metal1,10.8090,56.1010,1.199881
FILLER_10_0,VDD,Metal1,7.4490,56.1010,1.199879
FILLER_9_166,VDD,Metal1,85.6800,49.1400,1.197278
FILLER_9_159,VDD,Metal1,83.7690,49.7380,1.197278
FILLER_9_152,VDD,Metal1,80.4090,49.7380,1.197278
FILLER_9_145,VDD,Metal1,77.0490,49.7380,1.197278
FILLER_9_135,VDD,Metal1,72.2490,49.7380,1.197290
FILLER_9_128,VDD,Metal1,68.8890,49.7380,1.197298
FILLER_9_121,VDD,Metal1,65.5290,49.7380,1.197305
FILLER_9_114,VDD,Metal1,62.1690,49.7380,1.197312
FILLER_9_107,VDD,Metal1,58.8090,49.7380,1.197344
FILLER_9_100,VDD,Metal1,55.4490,49.7380,1.197344
FILLER_9_93,VDD,Metal1,52.0890,49.7380,1.197344
FILLER_9_86,VDD,Metal1,48.7290,49.7380,1.197344
FILLER_9_79,VDD,Metal1,45.3690,49.7380,1.197350
FILLER_9_69,VDD,Metal1,39.1200,49.1400,1.198254
FILLER_9_67,VDD,Metal1,38.4000,49.1400,1.198392
FILLER_9_47,VDD,Metal1,29.2910,49.7360,1.199867
FILLER_9_40,VDD,Metal1,26.6490,49.7380,1.199890
FILLER_9_33,VDD,Metal1,23.2890,49.7380,1.199917
FILLER_9_26,VDD,Metal1,19.9290,49.7380,1.199927
FILLER_9_19,VDD,Metal1,16.5690,49.7380,1.199927
FILLER_9_7,VDD,Metal1,9.6000,49.1400,1.199923
FILLER_9_0,VDD,Metal1,7.4490,49.7380,1.199923
FILLER_8_166,VDD,Metal1,85.6800,49.1400,1.197278
FILLER_8_134,VDD,Metal1,70.5600,49.1400,1.197297
FILLER_8_130,VDD,Metal1,69.1310,48.5430,1.197298
FILLER_8_123,VDD,Metal1,66.4890,48.5410,1.197300
FILLER_8_116,VDD,Metal1,63.1290,48.5410,1.197308
FILLER_8_72,VDD,Metal1,41.2910,48.5430,1.198236
FILLER_8_66,VDD,Metal1,37.6800,49.1400,1.198392
FILLER_8_64,VDD,Metal1,36.9600,49.1400,1.198392
FILLER_8_48,VDD,Metal1,29.2800,49.1400,1.199867
FILLER_8_39,VDD,Metal1,24.7200,49.1400,1.199917
FILLER_8_37,VDD,Metal1,24.0000,49.1400,1.199917
FILLER_8_0,VDD,Metal1,7.4490,48.5410,1.199923
FILLER_7_166,VDD,Metal1,85.6800,41.5800,1.198966
FILLER_7_135,VDD,Metal1,70.8000,41.5800,1.198975
FILLER_7_131,VDD,Metal1,69.6110,42.1760,1.198975
FILLER_7_125,VDD,Metal1,66.0000,41.5800,1.198995
FILLER_7_123,VDD,Metal1,65.2800,41.5800,1.198995
FILLER_7_118,VDD,Metal1,62.6400,41.5800,1.199026
FILLER_7_116,VDD,Metal1,61.9200,41.5800,1.199026
FILLER_7_100,VDD,Metal1,54.0000,41.5800,1.199263
FILLER_7_96,VDD,Metal1,52.8110,42.1760,1.199263
FILLER_7_91,VDD,Metal1,49.9200,41.5800,1.199374
FILLER_7_87,VDD,Metal1,48.4910,42.1760,1.199374
FILLER_7_80,VDD,Metal1,45.8490,42.1780,1.199432
FILLER_7_52,VDD,Metal1,31.2000,41.5800,1.199872
FILLER_7_45,VDD,Metal1,29.0490,42.1780,1.199889
FILLER_7_37,VDD,Metal1,24.4910,42.1760,1.199904
FILLER_7_0,VDD,Metal1,7.4490,42.1780,1.199699
FILLER_6_166,VDD,Metal1,85.6800,41.5800,1.198966
FILLER_6_164,VDD,Metal1,84.9600,41.5800,1.198966
FILLER_6_157,VDD,Metal1,82.8090,40.9810,1.198966
FILLER_6_152,VDD,Metal1,78.9600,41.5800,1.198966
FILLER_6_145,VDD,Metal1,77.0490,40.9810,1.198966
FILLER_6_138,VDD,Metal1,73.6890,40.9810,1.198968
FILLER_6_113,VDD,Metal1,60.2400,41.5800,1.199030
FILLER_6_106,VDD,Metal1,58.3290,40.9810,1.199030
FILLER_6_96,VDD,Metal1,52.3200,41.5800,1.199263
FILLER_6_89,VDD,Metal1,50.1690,40.9810,1.199374
FILLER_6_84,VDD,Metal1,46.3200,41.5800,1.199402
FILLER_6_77,VDD,Metal1,44.4090,40.9810,1.199432
FILLER_6_68,VDD,Metal1,38.6400,41.5800,1.199723
FILLER_6_61,VDD,Metal1,36.7290,40.9810,1.199725
FILLER_6_54,VDD,Metal1,33.3690,40.9810,1.199839
FILLER_6_47,VDD,Metal1,30.0090,40.9810,1.199870
FILLER_6_40,VDD,Metal1,26.6490,40.9810,1.199900
FILLER_6_33,VDD,Metal1,23.2890,40.9810,1.199904
FILLER_6_26,VDD,Metal1,19.9290,40.9810,1.199917
FILLER_6_19,VDD,Metal1,16.5690,40.9810,1.199916
FILLER_6_8,VDD,Metal1,9.8400,41.5800,1.199904
FILLER_6_4,VDD,Metal1,8.6510,40.9830,1.199699
FILLER_5_166,VDD,Metal1,85.6800,34.0200,1.199864
FILLER_5_164,VDD,Metal1,84.9600,34.0200,1.199864
FILLER_5_157,VDD,Metal1,82.8090,34.6180,1.199864
FILLER_5_150,VDD,Metal1,79.4490,34.6180,1.199864
FILLER_5_143,VDD,Metal1,76.0890,34.6180,1.199864
FILLER_5_136,VDD,Metal1,72.7290,34.6180,1.199864
FILLER_5_129,VDD,Metal1,69.3690,34.6180,1.199864
FILLER_5_122,VDD,Metal1,64.8000,34.0200,1.199867
FILLER_5_116,VDD,Metal1,61.9200,34.0200,1.199880
FILLER_5_109,VDD,Metal1,59.7690,34.6180,1.199881
FILLER_5_102,VDD,Metal1,56.4090,34.6180,1.199885
FILLER_5_95,VDD,Metal1,53.0490,34.6180,1.199889
FILLER_5_88,VDD,Metal1,49.6890,34.6180,1.199893
FILLER_5_81,VDD,Metal1,46.3290,34.6180,1.199898
FILLER_5_74,VDD,Metal1,42.9690,34.6180,1.199902
FILLER_5_67,VDD,Metal1,39.6090,34.6180,1.199906
FILLER_5_60,VDD,Metal1,36.2490,34.6180,1.199910
FILLER_5_53,VDD,Metal1,32.8890,34.6180,1.199914
FILLER_5_21,VDD,Metal1,17.5290,34.6180,1.199928
FILLER_5_14,VDD,Metal1,14.1690,34.6180,1.199927
FILLER_5_7,VDD,Metal1,10.8090,34.6180,1.199927
FILLER_5_0,VDD,Metal1,7.4490,34.6180,1.199927
FILLER_4_166,VDD,Metal1,85.6800,34.0200,1.199864
FILLER_4_162,VDD,Metal1,84.4910,33.4230,1.199864
FILLER_4_155,VDD,Metal1,81.8490,33.4210,1.199864
FILLER_4_148,VDD,Metal1,78.4890,33.4210,1.199864
FILLER_4_141,VDD,Metal1,75.1290,33.4210,1.199864
FILLER_4_134,VDD,Metal1,71.7690,33.4210,1.199864
FILLER_4_127,VDD,Metal1,68.4090,33.4210,1.199864
FILLER_4_121,VDD,Metal1,64.0800,34.0200,1.199867
FILLER_4_114,VDD,Metal1,62.1690,33.4210,1.199880
FILLER_4_107,VDD,Metal1,58.8090,33.4210,1.199884
FILLER_4_100,VDD,Metal1,55.4490,33.4210,1.199888
FILLER_4_93,VDD,Metal1,52.0890,33.4210,1.199892
FILLER_4_86,VDD,Metal1,48.7290,33.4210,1.199896
FILLER_4_79,VDD,Metal1,45.3690,33.4210,1.199900
FILLER_4_72,VDD,Metal1,42.0090,33.4210,1.199904
FILLER_4_65,VDD,Metal1,38.6490,33.4210,1.199908
FILLER_4_58,VDD,Metal1,35.2890,33.4210,1.199912
FILLER_4_51,VDD,Metal1,31.9290,33.4210,1.199916
FILLER_4_44,VDD,Metal1,28.5690,33.4210,1.199931
FILLER_4_37,VDD,Metal1,25.2090,33.4210,1.199932
FILLER_4_30,VDD,Metal1,21.8490,33.4210,1.199932
FILLER_4_23,VDD,Metal1,18.4890,33.4210,1.199931
FILLER_4_9,VDD,Metal1,10.3200,34.0200,1.199927
FILLER_4_7,VDD,Metal1,9.6000,34.0200,1.199927
FILLER_4_0,VDD,Metal1,7.4490,33.4210,1.199927
FILLER_3_165,VDD,Metal1,85.4400,26.4600,1.199095
FILLER_3_120,VDD,Metal1,63.8400,26.4600,1.199160
FILLER_3_114,VDD,Metal1,60.7200,26.4600,1.199201
FILLER_3_107,VDD,Metal1,58.8090,27.0580,1.199204
FILLER_3_98,VDD,Metal1,53.0400,26.4600,1.199212
FILLER_3_91,VDD,Metal1,51.1290,27.0580,1.199212
FILLER_3_84,VDD,Metal1,47.7690,27.0580,1.199212
FILLER_3_67,VDD,Metal1,38.1600,26.4600,1.199253
FILLER_3_63,VDD,Metal1,36.9710,27.0560,1.199254
FILLER_3_57,VDD,Metal1,33.3600,26.4600,1.199254
FILLER_3_53,VDD,Metal1,32.1710,27.0560,1.199254
FILLER_3_46,VDD,Metal1,29.5290,27.0580,1.199800
FILLER_3_7,VDD,Metal1,9.6000,26.4600,1.199831
FILLER_3_0,VDD,Metal1,7.4490,27.0580,1.199830
FILLER_2_162,VDD,Metal1,83.7600,26.4600,1.199095
FILLER_2_158,VDD,Metal1,82.5710,25.8630,1.199095
FILLER_2_151,VDD,Metal1,79.9290,25.8610,1.199095
FILLER_2_144,VDD,Metal1,76.5690,25.8610,1.199095
FILLER_2_140,VDD,Metal1,73.2000,26.4600,1.199092
FILLER_2_136,VDD,Metal1,72.0110,25.8630,1.199095
FILLER_2_127,VDD,Metal1,66.9600,26.4600,1.199123
FILLER_2_114,VDD,Metal1,60.7200,26.4600,1.199201
FILLER_2_48,VDD,Metal1,29.0400,26.4600,1.199800
FILLER_2_46,VDD,Metal1,28.3200,26.4600,1.199800
FILLER_2_2,VDD,Metal1,6.9600,26.4600,1.199830
FILLER_2_0,VDD,Metal1,6.2400,26.4600,1.199830
FILLER_1_160,VDD,Metal1,84.2490,19.4980,1.199712
FILLER_1_153,VDD,Metal1,80.8890,19.4980,1.199712
FILLER_1_146,VDD,Metal1,77.5290,19.4980,1.199712
FILLER_1_139,VDD,Metal1,74.1690,19.4980,1.199712
